text,hashtags,likes,has_media,retweets,img_urls,screen_name,timestamp,is_replied,is_reply_to,parent_tweet_id,replies,tweet_id,tweet_url,user_id,username
#sondage #NBA,sondage|NBA,0,False,0,,purpleg95511759,2020-07-23 23:39:07,False,False,,0,1286445772817477634,/purpleg95511759/status/1286445772817477634,1272607514388029443,purple guy
"So far this ""game"" is fun!! #Mavs #Lakers #NBA is back!!! 🏀",Mavs|Lakers|NBA,1,False,0,,MicheleAerin,2020-07-23 23:39:07,False,False,,0,1286445769872953344,/MicheleAerin/status/1286445769872953344,69929389,Michele Aerin
Gotta remind myself that it's just scrimmage #NBA,NBA,0,False,0,,FIEFA_22,2020-07-23 23:38:47,False,False,,0,1286445688084193285,/FIEFA_22/status/1286445688084193285,717453833388077056,FIEFA *FOLLOW LIMIT*
"Lo voy a odiar y amar a Dion Waiters estos Playoffs.
#NBA https://twitter.com/WorldWideWob/status/1286444241233891329 …",NBA,0,False,0,,AgusRockstain,2020-07-23 23:38:43,False,False,,0,1286445669348192259,/AgusRockstain/status/1286445669348192259,151610314,Agus Rockstain
KCP is AOK. 🥳Yesssssss!!!! #Lakers #NBA #KCPpic.twitter.com/L7YrOfU1sF,Lakers|NBA|KCPpic,27,True,0,https://pbs.twimg.com/media/EdpfgmdVAAMdOMg.jpg,TheRealSignGuy1,2020-07-23 23:38:41,False,False,,0,1286445660430938112,/TheRealSignGuy1/status/1286445660430938112,1065437795513057280,TheRealSignGuy
#NBA http://bleacherreport.com/post/nba-highlights/b91f1903-5a5a-47dc-9f6d-6628183c856e …,NBA,0,False,0,,QueensIceZ,2020-07-23 23:38:20,False,False,,0,1286445575576133639,/QueensIceZ/status/1286445575576133639,49080826,Zack
"#nba #Basketball is baaaaaak!!
With so much shit going on(trump,Covid,corrupt police,us killing us & that damm #NickCannon) i need this just to rinse off my spirit",nba|Basketball|NickCannon,0,False,0,,BIGCITY20,2020-07-23 23:38:19,False,False,,0,1286445570584915968,/BIGCITY20/status/1286445570584915968,633189018,BIGCITY***
"Lakers back in action today. How big of an X Factor can Waiters be. Click the link in the bio 
#TheHoopers
#HoopersPod
#NBABubble
#NBATwitter
#NBA
#BasketballPodcast
#Basketball
#88 https://www.instagram.com/p/CDANksFlaip/?igshid=1ey19q9kkwum6 …",TheHoopers|HoopersPod|NBABubble|NBATwitter|NBA|BasketballPodcast|Basketball|88,1,False,1,,HoopersPod,2020-07-23 23:38:18,False,False,,0,1286445563806973952,/HoopersPod/status/1286445563806973952,1203063883512139776,The Hoopers
"LeBron James con las mismas costumbres a los 35 años 👑
#elchistesecuentasolo #nbascrimmage #baloncesto #basketball #basket #nba #nbapuertorico https://www.instagram.com/p/CDANkDxlNg2/?igshid=1t2xy7w6gj52k …",elchistesecuentasolo|nbascrimmage|baloncesto|basketball|basket|nba|nbapuertorico,0,False,0,,OlimpoNba,2020-07-23 23:38:14,False,False,,0,1286445550162894848,/OlimpoNba/status/1286445550162894848,1264488084864933890,El Olimpo de la NBA
First challenge by Rick Carlisle #NBA,NBA,1,False,0,,Atibaahtapot13,2020-07-23 23:38:08,False,False,,0,1286445522224635905,/Atibaahtapot13/status/1286445522224635905,1282804377980469251,Atiba
